validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
dciodvfy,579717f767ec,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-109.083679199219> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5994f99fce1c,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-188.264465332031> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5b556562a60f,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-33.8971557617188> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5b58383d099b,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-11.9566040039062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5c8b18902668,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-103.768493652344> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5c9ad303111c,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-210.636352539062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5e1cf67ee27b,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-141.400024414062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,5f314fcb0f6e,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-11.8178100585938> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,62cb787f443e,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-185.008666992188> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,63241954bb62,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-24.3667602539062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,63c595a1be23,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-180.793640136719> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,66fc4ef7bdca,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-118.699523925781> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,672eab20990d,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-130.645874023438> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,679eaf3c6e04,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-218.014953613281> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,68446e91c0c0,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-135.644165039062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,69727c9a2ca3,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-13.9098510742188> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,6e15ed2846e3,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-84.7088012695312> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,6f71f1922c44,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-193.908386230469> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,6fd388f39937,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-14.5711669921875> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,70e25068e239,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-27.7884521484375> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,727d36313b58,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-119.873291015625> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,73f7ebe168c4,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-116.849060058594> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,79302981ac80,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-36.8587646484375> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,79aa27b0193f,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-89.4598999023438> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,79ae6e4b9192,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-29.9044799804688> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,7a271cda8475,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-10.9198608398438> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,7b4f6844e651,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-18.0350952148438> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,7c3d7478ec2f,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-140.560668945312> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,7d28db8b18c6,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-106.579956054688> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,7ff505d10731,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-102.710510253906> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,80d535bfae18,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-21.4265747070312> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,82cecda7082b,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-103.761474609375> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,82d1107e22d8,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-78.9000244140625> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,82fe1cdd23b8,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-4.80670166015625> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,852938f42c12,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-117.147399902344> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,85d778e6e8fa,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-188.767211914062> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,86267689d999,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-129.145141601562> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,875b05434e7d,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-120.662780761719> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,881642e14e3c,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-119.990600585938> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,887f105f59ed,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-170.715698242188> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,8be10ddd0d88,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-89.1482543945312> - Length invalid for this VR = 17, expected <= 16",Error,1,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
